Age,Education Level,Gender,Internet Connection,Marital Status,Movie Selector,Num Bathrooms,Num Bedrooms,Num Cars,Num Children,Num TVs,PPV Freq,Prerec Buying Freq,Prerec Format,Prerec Renting Freq,Prerec Viewing Freq,CustomerID,Theater Freq,TV Movie Freq,TV Signal,Home Ownership
33,Doctorate,Male,Dial-Up,Married,Spouse/Partner,2.5,3,1,0,2,Rarely,Monthly,DVD,Rarely,Monthly,877687,Monthly,Monthly,Cable,Own
47,Doctorate,Male,DSL,Married,Spouse/Partner,2,2,2,1,1,Never,Monthly,DVD,Monthly,Weekly,877723,Rarely,Weekly,Cable,Own
35,Bachelor's Degree,Male,Cable Modem,Married,Me,2.5,4,2,2,2,Rarely,Rarely,DVD,Monthly,Monthly,877792,Rarely,Daily,Cable,Own
32,Bachelor's Degree,Male,Cable Modem,Married,Me,3.5,5,2,2,3,Never,Rarely,DVD,Monthly,Monthly,877840,Monthly,Weekly,Cable,Own
32,Bachelor's Degree,Male,No Internet Connection,Married,Me,2.5,4,2,0,1,Rarely,Rarely,DVD,Weekly,Weekly,877988,Weekly,Weekly,Digital Satellite,Own
32,Master's Degree,Male,DSL,Married,Me,2.5,4,2,2,1,Never,Never,VHS,Rarely,Rarely,878821,Rarely,Weekly,Cable,Own
32,Bachelor's Degree,Male,DSL,Married,Me,2,4,2,0,2,Rarely,Rarely,DVD,Monthly,Monthly,878822,Monthly,Rarely,Cable,Rent
33,Master's Degree,Male,Cable Modem,Married,Spouse/Partner,2.5,4,2,2,1,Never,Monthly,DVD,Monthly,Weekly,878842,Rarely,Weekly,Cable,Own
44,Master's Degree,Male,Cable Modem,Married,Me,2.5,4,2,2,4,Never,Weekly,DVD,Rarely,Weekly,878855,Weekly,Weekly,Cable,Own
39,Master's Degree,Male,Cable Modem,Divorced,Me,3,3,3,2,3,Rarely,Monthly,DVD,Monthly,Weekly,878871,Rarely,Rarely,Digital Satellite,Own
29,Master's Degree,Male,DSL,Married,Me,1,2,1,1,1,Never,Rarely,DVD,Weekly,Weekly,878907,Monthly,Rarely,Analog antennae,Rent
41,Doctorate,Male,Dial-Up,Married,Other,2.5,4,2,4,4,Never,Rarely,DVD,Never,Weekly,878908,Rarely,Weekly,Cable,Own
44,Doctorate,Female,DSL,Never Married,Spouse/Partner,0.5,2,1,1,1,Never,Monthly,VHS,Rarely,Monthly,878912,Never,Rarely,Analog antennae,Own
59,Master's Degree,Male,DSL,Married,Other,3.5,5,3,2,3,Never,Rarely,Betamax,Weekly,Weekly,878919,Rarely,Monthly,Cable,Own
45,Bachelor's Degree,Male,Cable Modem,Married,Me,4,5,2,1,7,Never,Never,DVD,Monthly,Monthly,878974,Monthly,Never,Cable,Own
32,Bachelor's Degree,Male,DSL,Married,Me,2.5,4,2,2,2,Monthly,Rarely,DVD,Weekly,Weekly,878977,Rarely,Weekly,Cable,Own
32,Bachelor's Degree,Male,DSL,Married,Me,1,1,2,1,1,Never,Never,DVD,Rarely,Monthly,878993,Rarely,Weekly,Digital Satellite,Rent
28,Master's Degree,Male,Cable Modem,Never Married,Me,1,1,1,0,1,Never,Never,DVD,Monthly,Monthly,879011,Monthly,Weekly,Cable,Rent
28,Master's Degree,Male,Cable Modem,Never Married,Me,2.5,3,1,0,1,Rarely,Rarely,DVD,Monthly,Monthly,879017,Monthly,Daily,Cable,Own
40,Associate's Degree,Male,DSL,Married,Me,3,6,2,2,3,Never,Rarely,DVD,Monthly,Monthly,879020,Rarely,Weekly,Analog antennae,Own
39,Bachelor's Degree,Male,DSL,Married,Me,2.5,3,3,1,2,Rarely,Rarely,DVD,Rarely,Rarely,879033,Monthly,Monthly,Digital Satellite,Own
28,Master's Degree,Female,Cable Modem,Married,Spouse/Partner,1,1,1,0,1,Never,Rarely,DVD,Monthly,Weekly,879055,Rarely,Monthly,Cable,Rent
