name,date_of_event,age,citizenship,event_location,event_location_district,event_location_region,date_of_death,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,killed_by
118,2403,32,3,304,18,2,2591,1,1,357,17,5,1
10300,2403,21,3,304,18,2,2591,1,1,357,17,5,1
323,2402,16,3,223,8,2,2590,1,1,578,7,5,1
2984,2401,19,3,8,9,2,2589,1,1,3,8,5,1
8562,2400,15,3,198,8,2,2588,1,1,232,7,5,1
905,2400,29,3,198,8,2,2589,1,1,232,7,5,1
10861,2400,24,3,155,3,0,2588,1,1,272,9,5,1
5677,2400,25,3,198,8,2,2588,1,1,233,7,5,1
5554,2400,23,3,198,8,2,2588,1,1,233,7,5,1
6156,2399,15,3,457,6,2,2587,1,1,544,5,5,1
7619,2398,16,3,46,9,2,2586,1,1,541,8,5,1
970,2398,21,3,304,18,2,2586,1,1,357,17,5,1
26,2397,45,3,9,17,2,2585,1,1,32,16,5,1
2905,2396,41,3,87,15,2,2584,1,1,132,14,5,1
5207,2395,14,3,490,2,2,2583,1,1,81,2,11,1
1296,2394,17,3,452,8,2,2581,1,1,537,7,5,1
2733,2393,40,1,75,6,2,2580,0,1,80,5,5,2
2400,2392,28,1,183,11,2,2579,1,1,39,6,5,2
9746,2392,60,1,183,11,2,2579,1,1,39,6,5,2
7891,2391,32,3,197,8,2,2578,1,1,232,7,5,1
7297,2390,19,3,54,11,2,2579,1,1,56,10,5,1
8543,2389,16,3,8,9,2,2577,1,1,234,8,5,1
7361,2389,25,3,8,9,2,2577,1,1,3,8,5,1
5659,2388,24,3,404,18,2,2576,1,1,483,17,5,1
2098,2387,24,3,281,11,2,2579,1,1,156,10,5,1
5283,2386,21,3,104,8,2,2574,1,1,233,7,5,1
8202,2386,26,3,104,8,2,2574,1,1,233,7,5,1
2601,2386,16,3,104,8,2,2574,1,1,228,7,5,1
5013,2385,22,3,396,7,1,2573,1,1,423,7,5,0
2853,2385,42,1,396,7,1,2573,1,1,66,6,5,2
8548,2384,18,3,114,15,2,2572,1,1,121,14,5,0
5636,2384,17,3,403,18,2,2572,1,1,357,17,5,1
8856,2383,17,3,306,15,2,2575,1,1,454,14,5,1
7700,2382,20,3,260,19,2,2571,1,1,548,19,5,1
6742,2382,15,3,275,6,2,2571,1,1,528,5,5,1
6373,2381,23,3,25,11,2,2570,1,1,156,10,5,1
8385,2380,32,3,281,11,2,2569,1,1,335,10,5,1
7763,2380,32,3,281,11,2,2569,1,1,335,10,5,1
9091,2380,42,3,281,11,2,2569,1,1,335,10,5,1
3298,2379,18,3,351,11,2,2568,1,1,425,10,5,1
6769,2379,16,3,409,15,2,2568,1,1,134,14,5,1
2552,2378,18,3,281,11,2,2567,1,1,335,10,5,1
2779,2377,33,3,121,15,2,2566,1,1,447,14,5,1
3677,2376,32,3,281,11,2,2565,1,1,335,10,5,1
5309,2376,34,3,281,11,2,2565,1,1,335,10,5,1
227,2376,24,3,409,15,2,2565,1,1,38,14,5,1
300,2375,20,3,396,7,1,2564,1,1,528,5,5,0
4865,2375,20,3,197,8,2,2564,1,1,319,7,5,1
68,2375,16,3,197,8,2,2564,1,1,169,7,5,1
1746,2374,21,3,198,8,2,2563,1,1,233,7,5,1
2431,2374,19,3,198,8,2,2563,1,1,233,7,5,1
691,2374,18,3,198,8,2,2563,1,1,233,7,5,1
6509,2374,21,3,465,15,2,2563,1,1,404,14,5,1
9527,2374,19,3,198,8,2,2563,1,1,233,7,5,1
4073,2374,19,3,198,8,2,2563,1,1,233,7,5,1
